title,primary_language,year,genres_str,movieId,genres_list
The Iceman,English,2012,"Thriller, Crime, Drama",68812,"['Thriller', 'Crime', 'Drama']"
Assassin's Creed,English,2016,"Action, Adventure, Science Fiction",121856,"['Action', 'Adventure', 'Science Fiction']"
The Man,English,2005,"Action, Comedy, Crime",9074,"['Action', 'Comedy', 'Crime']"
Monsters: Dark Continent,English,2014,"Thriller, Drama, Science Fiction",145221,"['Thriller', 'Drama', 'Science Fiction']"
Extraction,English,2015,"Action, Thriller",326425,"['Action', 'Thriller']"
Ben-Hur,English,2016,"Adventure, Drama, Action",271969,"['Adventure', 'Drama', 'Action']"
Are You Here,English,2013,Comedy,209244,['Comedy']
Outcast,English,2014,Action,289720,['Action']
Herbie Fully Loaded,English,2005,"Comedy, Family, Adventure, Fantasy, Romance",11451,"['Comedy', 'Family', 'Adventure', 'Fantasy', 'Romance']"
Alvin and the Chipmunks: Chipwrecked,English,2011,"Comedy, Fantasy, Family, Music, Animation",55301,"['Comedy', 'Fantasy', 'Family', 'Music', 'Animation']"
Two for the Money,English,2005,"Comedy, Crime, Drama, Thriller",9910,"['Comedy', 'Crime', 'Drama', 'Thriller']"
Conviction,English,2010,Drama,45094,['Drama']
Cell 211,English,2009,"Action, Thriller, Drama",33273,"['Action', 'Thriller', 'Drama']"
Belly of the Beast,English,2003,"Action, Thriller",12542,"['Action', 'Thriller']"
Sherlock Holmes,English,2009,"Action, Adventure, Crime, Mystery",10528,"['Action', 'Adventure', 'Crime', 'Mystery']"
Mercy,English,2014,"Thriller, Horror",180305,"['Thriller', 'Horror']"
Justice League Dark,English,2017,"Action, Animation, Fantasy, Science Fiction, Thriller",408220,"['Action', 'Animation', 'Fantasy', 'Science Fiction', 'Thriller']"
The Scorpion King,English,2002,"Action, Fantasy, Adventure",9334,"['Action', 'Fantasy', 'Adventure']"
My Blueberry Nights,English,2007,"Drama, Romance",1989,"['Drama', 'Romance']"
Nebraska,English,2013,"Drama, Adventure",129670,"['Drama', 'Adventure']"
The Trials of Cate McCall,English,2013,Drama,253279,['Drama']
Saw,English,2004,"Horror, Mystery, Crime",176,"['Horror', 'Mystery', 'Crime']"
Rio 2,English,2014,"Animation, Adventure, Comedy, Family",172385,"['Animation', 'Adventure', 'Comedy', 'Family']"
Precious,English,2009,Drama,25793,['Drama']
Deadfall,English,2012,"Crime, Drama, Thriller",97614,"['Crime', 'Drama', 'Thriller']"
Devil's Due,English,2014,Horror,79316,['Horror']
Get Out,English,2017,"Mystery, Thriller, Horror",419430,"['Mystery', 'Thriller', 'Horror']"
Broken City,English,2013,"Thriller, Crime, Drama",98357,"['Thriller', 'Crime', 'Drama']"
The Longest Ride,English,2015,"Drama, Romance",228205,"['Drama', 'Romance']"
Charlotte's Web,English,2006,"Comedy, Family, Fantasy",9986,"['Comedy', 'Family', 'Fantasy']"
Hachi: A Dog's Tale,English,2009,"Drama, Family",28178,"['Drama', 'Family']"
Total Recall,English,2012,"Action, Science Fiction, Adventure, Thriller",64635,"['Action', 'Science Fiction', 'Adventure', 'Thriller']"
Furry Vengeance,English,2010,Comedy,35169,['Comedy']
Grave Halloween,English,2013,"TV Movie, Horror",229839,"['TV Movie', 'Horror']"
Wanderlust,English,2012,Comedy,50647,['Comedy']
Changeling,English,2008,"Crime, Drama, Mystery",3580,"['Crime', 'Drama', 'Mystery']"
Cut Bank,English,2014,Thriller,276902,['Thriller']
The Prestige,English,2006,"Drama, Mystery, Thriller",1124,"['Drama', 'Mystery', 'Thriller']"
Old School,English,2003,Comedy,11635,['Comedy']
Saw VI,English,2009,"Horror, Mystery",22804,"['Horror', 'Mystery']"
A Most Wanted Man,English,2014,Thriller,157849,['Thriller']
The Sea of Trees,English,2016,Drama,291351,['Drama']
American Ultra,English,2015,"Comedy, Action",261392,"['Comedy', 'Action']"
Pitch Perfect,English,2012,"Comedy, Music, Romance",114150,"['Comedy', 'Music', 'Romance']"
Charlie's Angels,English,2000,"Action, Adventure, Comedy, Crime, Thriller",4327,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']"
The Huntsman: Winter's War,English,2016,"Action, Adventure, Drama",290595,"['Action', 'Adventure', 'Drama']"
The Myth of the American Sleepover,English,2010,"Romance, Comedy, Drama",70588,"['Romance', 'Comedy', 'Drama']"
We Steal Secrets: The Story of WikiLeaks,English,2013,Documentary,159154,['Documentary']
Underworld: Blood Wars,English,2016,"Action, Fantasy, Horror",346672,"['Action', 'Fantasy', 'Horror']"
Eagle Eye,English,2008,"Mystery, Thriller, Action",13027,"['Mystery', 'Thriller', 'Action']"
The Escapist,English,2008,"Action, Thriller",14851,"['Action', 'Thriller']"
Man Up,English,2015,"Romance, Comedy",332340,"['Romance', 'Comedy']"
Rough Night,English,2017,"Drama, Comedy",397422,"['Drama', 'Comedy']"
L!fe Happens,English,2011,Comedy,91070,['Comedy']
Inside Out,English,2015,"Drama, Comedy, Animation, Family",150540,"['Drama', 'Comedy', 'Animation', 'Family']"
For the Birds,English,2000,"Animation, Family",13930,"['Animation', 'Family']"
Down to Earth,English,2001,"Fantasy, Comedy, Science Fiction, Romance",16300,"['Fantasy', 'Comedy', 'Science Fiction', 'Romance']"
Joe Dirt,English,2001,"Mystery, Adventure, Comedy, Romance, Drama",10956,"['Mystery', 'Adventure', 'Comedy', 'Romance', 'Drama']"
Half Light,English,2006,"Mystery, Thriller, Drama, Horror",9756,"['Mystery', 'Thriller', 'Drama', 'Horror']"
Split,English,2016,"Horror, Thriller",381288,"['Horror', 'Thriller']"
The Pink Panther 2,English,2009,"Comedy, Mystery",15159,"['Comedy', 'Mystery']"
The Damned United,English,2009,Drama,21641,['Drama']
Hunger,English,2008,"Drama, History",10360,"['Drama', 'History']"
Ghost Ship,English,2002,"Horror, Mystery, Thriller",9645,"['Horror', 'Mystery', 'Thriller']"
Just Wright,English,2010,"Comedy, Drama, Romance",38093,"['Comedy', 'Drama', 'Romance']"
Kick-Ass 2,English,2013,"Action, Adventure, Crime",59859,"['Action', 'Adventure', 'Crime']"
Waiting for Forever,English,2010,"Drama, Romance",52338,"['Drama', 'Romance']"
A Christmas Carol,English,2009,"Animation, Drama",17979,"['Animation', 'Drama']"
Ice Age: Collision Course,English,2016,"Adventure, Animation, Family, Comedy",278154,"['Adventure', 'Animation', 'Family', 'Comedy']"
Surf's Up,English,2007,"Animation, Comedy, Family",9408,"['Animation', 'Comedy', 'Family']"
The Collection,English,2012,"Horror, Thriller",134597,"['Horror', 'Thriller']"
The Assassination of Richard Nixon,English,2004,"Drama, History, Thriller",842,"['Drama', 'History', 'Thriller']"
School for Scoundrels,English,2006,"Comedy, Drama, Romance",9842,"['Comedy', 'Drama', 'Romance']"
Hope Springs,English,2003,"Comedy, Romance",21544,"['Comedy', 'Romance']"
Friday the 13th,English,2009,Horror,13207,['Horror']
Enchanted,English,2007,"Comedy, Family, Fantasy, Romance",4523,"['Comedy', 'Family', 'Fantasy', 'Romance']"
The Wall,English,2017,"Drama, Thriller, War",405775,"['Drama', 'Thriller', 'War']"
The Stepford Wives,English,2004,"Action, Comedy, Science Fiction",9890,"['Action', 'Comedy', 'Science Fiction']"
The Boss Baby,English,2017,"Animation, Comedy, Family",295693,"['Animation', 'Comedy', 'Family']"
Kill Command,English,2016,"Action, Horror, Science Fiction",384798,"['Action', 'Horror', 'Science Fiction']"
Lara Croft: Tomb Raider,English,2001,"Adventure, Fantasy, Action, Thriller",1995,"['Adventure', 'Fantasy', 'Action', 'Thriller']"
Remember Me,English,2010,"Drama, Romance",23169,"['Drama', 'Romance']"
Batman vs Dracula,English,2005,"Fantasy, Animation, Horror, Action, Thriller, Science Fiction",20077,"['Fantasy', 'Animation', 'Horror', 'Action', 'Thriller', 'Science Fiction']"
Creed,English,2015,Drama,312221,['Drama']
Casanova,English,2005,Comedy,9681,['Comedy']
Sucker Punch,English,2011,"Action, Fantasy, Thriller",23629,"['Action', 'Fantasy', 'Thriller']"
That's My Boy,English,2012,Comedy,87428,['Comedy']
After Earth,English,2013,"Science Fiction, Action, Adventure",82700,"['Science Fiction', 'Action', 'Adventure']"
The Other Woman,English,2014,"Comedy, Romance",193610,"['Comedy', 'Romance']"
Lie with Me,English,2005,Drama,14174,['Drama']
The Vow,English,2012,"Drama, Romance",72570,"['Drama', 'Romance']"
The Mist,English,2007,"Science Fiction, Horror, Thriller",5876,"['Science Fiction', 'Horror', 'Thriller']"
Live Free or Die Hard,English,2007,"Action, Thriller",1571,"['Action', 'Thriller']"
Struck by Lightning,English,2012,"Comedy, Drama",87440,"['Comedy', 'Drama']"
Hatchet II,English,2010,"Horror, Comedy, Thriller",43919,"['Horror', 'Comedy', 'Thriller']"
Logan,English,2017,"Action, Drama, Science Fiction",263115,"['Action', 'Drama', 'Science Fiction']"
The Cobbler,English,2014,"Fantasy, Comedy, Drama",238215,"['Fantasy', 'Comedy', 'Drama']"
The Ring Two,English,2005,"Drama, Horror, Thriller",10320,"['Drama', 'Horror', 'Thriller']"
Black Butterfly,English,2017,Thriller,76812,['Thriller']
The Maze Runner,English,2014,"Action, Mystery, Science Fiction, Thriller",198663,"['Action', 'Mystery', 'Science Fiction', 'Thriller']"
The Sisterhood of the Traveling Pants,English,2005,"Drama, Comedy",9779,"['Drama', 'Comedy']"
Elizabethtown,English,2005,"Comedy, Drama, Romance",9621,"['Comedy', 'Drama', 'Romance']"
Dr. Horrible's Sing-Along Blog,English,2008,"Adventure, Action, Comedy, Science Fiction, Music",14301,"['Adventure', 'Action', 'Comedy', 'Science Fiction', 'Music']"
Kubo and the Two Strings,English,2016,"Animation, Adventure, Family",313297,"['Animation', 'Adventure', 'Family']"
Hansel & Gretel: Witch Hunters,English,2013,"Fantasy, Horror, Action",60304,"['Fantasy', 'Horror', 'Action']"
Scary Movie,English,2000,Comedy,4247,['Comedy']
Dream House,English,2011,"Drama, Thriller, Mystery",69668,"['Drama', 'Thriller', 'Mystery']"
Our Brand Is Crisis,English,2015,"Comedy, Drama",10317,"['Comedy', 'Drama']"
21 & Over,English,2013,Comedy,107811,['Comedy']
Justice League: The Flashpoint Paradox,English,2013,"Fantasy, Science Fiction, Animation, Action, Adventure",183011,"['Fantasy', 'Science Fiction', 'Animation', 'Action', 'Adventure']"
Saw: The Final Chapter,English,2010,"Horror, Crime",41439,"['Horror', 'Crime']"
Æon Flux,English,2005,"Action, Science Fiction",8202,"['Action', 'Science Fiction']"
Maniac,English,2012,Horror,103620,['Horror']
Expelled,English,2014,Comedy,305932,['Comedy']
The Dark Knight,English,2008,"Drama, Action, Crime, Thriller",155,"['Drama', 'Action', 'Crime', 'Thriller']"
Paris Can Wait,English,2016,"Drama, Romance",375867,"['Drama', 'Romance']"
Never Let Me Go,English,2010,"Drama, Romance, Science Fiction",42188,"['Drama', 'Romance', 'Science Fiction']"
"For a Good Time, Call...",English,2012,Comedy,84200,['Comedy']
Take Me Home,English,2011,"Comedy, Romance",85431,"['Comedy', 'Romance']"
Hounds of Love,English,2016,"Crime, Drama, Horror, Thriller",408439,"['Crime', 'Drama', 'Horror', 'Thriller']"
Einstein and Eddington,English,2008,"History, Drama",15044,"['History', 'Drama']"
Die Another Day,English,2002,"Adventure, Action, Thriller",36669,"['Adventure', 'Action', 'Thriller']"
Trespass Against Us,English,2017,"Action, Drama, Crime, Thriller",256569,"['Action', 'Drama', 'Crime', 'Thriller']"
The Host,English,2013,"Action, Adventure, Romance, Science Fiction, Thriller",72710,"['Action', 'Adventure', 'Romance', 'Science Fiction', 'Thriller']"
Riddick,English,2013,"Science Fiction, Action, Thriller",87421,"['Science Fiction', 'Action', 'Thriller']"
Phone Booth,English,2002,"Thriller, Drama",1817,"['Thriller', 'Drama']"
The Hobbit: An Unexpected Journey,English,2012,"Adventure, Fantasy, Action",49051,"['Adventure', 'Fantasy', 'Action']"
Butter,English,2011,Comedy,79697,['Comedy']
Star Wars: The Clone Wars,English,2008,"Thriller, Animation, Action, Science Fiction, Adventure, Fantasy",12180,"['Thriller', 'Animation', 'Action', 'Science Fiction', 'Adventure', 'Fantasy']"
Hidalgo,English,2004,"Western, Adventure",2023,"['Western', 'Adventure']"
The Last Word,English,2008,"Drama, Romance",17175,"['Drama', 'Romance']"
Idiocracy,English,2006,"Adventure, Comedy, Science Fiction",7512,"['Adventure', 'Comedy', 'Science Fiction']"
Jeepers Creepers 2,English,2003,"Horror, Thriller",11351,"['Horror', 'Thriller']"
Louder Than Bombs,English,2015,Drama,157827,['Drama']
The Recruit,English,2003,"Action, Thriller",1647,"['Action', 'Thriller']"
The Danish Girl,English,2015,Drama,306819,['Drama']
Goodbye World,English,2013,"Drama, Comedy",201066,"['Drama', 'Comedy']"
Jobs,English,2013,"Drama, History",115782,"['Drama', 'History']"
I've Loved You So Long,English,2008,Drama,8276,['Drama']
Bad Santa,English,2003,"Drama, Comedy, Crime",10147,"['Drama', 'Comedy', 'Crime']"
Jay and Silent Bob Strike Back,English,2001,Comedy,2294,['Comedy']
Bratz,English,2007,Comedy,14123,['Comedy']
It Stains the Sands Red,English,2016,"Comedy, Horror, Drama",434873,"['Comedy', 'Horror', 'Drama']"
The Human Centipede (First Sequence),English,2009,Horror,37169,['Horror']
The Grand Budapest Hotel,English,2014,"Comedy, Drama",120467,"['Comedy', 'Drama']"
Sweeney Todd: The Demon Barber of Fleet Street,English,2007,"Drama, Horror, Music",13885,"['Drama', 'Horror', 'Music']"
"Peace, Love & Misunderstanding",English,2011,"Comedy, Drama, Romance",98545,"['Comedy', 'Drama', 'Romance']"
Jupiter Ascending,English,2015,"Science Fiction, Fantasy, Action, Adventure",76757,"['Science Fiction', 'Fantasy', 'Action', 'Adventure']"
Re-Kill,English,2015,"Horror, Science Fiction",106845,"['Horror', 'Science Fiction']"
Ice Age,English,2002,"Animation, Comedy, Family, Adventure",425,"['Animation', 'Comedy', 'Family', 'Adventure']"
The Life of David Gale,English,2003,"Drama, Thriller, Crime",11615,"['Drama', 'Thriller', 'Crime']"
Godsend,English,2004,"Drama, Horror, Science Fiction, Thriller",11058,"['Drama', 'Horror', 'Science Fiction', 'Thriller']"
Paul Blart: Mall Cop 2,English,2015,"Action, Comedy, Family",256961,"['Action', 'Comedy', 'Family']"
Ned Kelly,English,2003,"Action, Adventure, Drama, History",10544,"['Action', 'Adventure', 'Drama', 'History']"
The Time Machine,English,2002,"Science Fiction, Adventure, Action",2135,"['Science Fiction', 'Adventure', 'Action']"
My Boss's Daughter,English,2003,"Comedy, Romance",2830,"['Comedy', 'Romance']"
Source Code,English,2011,"Thriller, Science Fiction, Mystery",45612,"['Thriller', 'Science Fiction', 'Mystery']"
Kalki 2898 AD,Telugu,2002,"Action, Sci-Fi, Fantasy",9000000,"['Action', 'Sci-Fi', 'Drama', 'Comedy']"
Salaar: Part 1 - Ceasefire,Telugu,2009,"Action, Thriller, Drama",9000001,"['Action', 'Sci-Fi', 'Crime']"
RRR,Telugu,2022,"Action, Drama",9000002,"['Sci-Fi', 'Crime', 'Action']"
Pushpa: The Rise,Telugu,2025,"Action, Thriller, Drama",9000003,"['Sci-Fi', 'Crime', 'Comedy', 'Action']"
Pushpa 2: The Rule,Telugu,2006,"Action, Thriller, Drama",9000004,"['Comedy', 'Drama', 'Action']"
Baahubali: The Beginning,Telugu,2020,"Action, Drama, Fantasy",9000005,"['Action', 'Crime', 'Comedy']"
Baahubali 2: The Conclusion,Telugu,2020,"Action, Drama, Fantasy",9000006,"['Comedy', 'Drama', 'Action']"
Eega,Telugu,2023,"Action, Comedy, Fantasy",9000007,"['Drama', 'Action']"
Magadheera,Telugu,2008,"Action, Drama, Fantasy",9000008,"['Thriller', 'Sci-Fi', 'Action', 'Comedy']"
Arjun Reddy,Telugu,2010,"Drama, Romance",9000009,"['Comedy', 'Drama', 'Thriller']"
Ala Vaikunthapurramuloo,Telugu,2003,"Action, Drama",9000010,"['Action', 'Sci-Fi']"
Sarileru Neekevvaru,Telugu,2017,"Action, Comedy",9000011,"['Drama', 'Crime', 'Action']"
Rangasthalam,Telugu,2022,"Action, Drama",9000012,"['Romance', 'Comedy', 'Crime', 'Action']"
Srimanthudu,Telugu,2022,"Action, Drama",9000013,"['Crime', 'Romance', 'Comedy']"
Bharat Ane Nenu,Telugu,2004,"Action, Drama",9000014,"['Drama', 'Action', 'Comedy']"
Maharshi,Telugu,2026,"Action, Drama",9000015,"['Sci-Fi', 'Thriller', 'Action']"
DJ: Duvvada Jagannadham,Telugu,2013,"Action, Drama",9000016,"['Romance', 'Action', 'Comedy']"
Gabbar Singh,Telugu,2020,"Action, Drama",9000017,"['Sci-Fi', 'Crime', 'Drama', 'Action', 'Comedy']"
Attarintiki Daredi,Telugu,2015,"Action, Drama",9000018,"['Horror', 'Thriller', 'Action', 'Comedy']"
Jalsa,Telugu,2020,"Action, Drama",9000019,['Comedy']
Kushi,Telugu,2004,"Action, Drama",9000020,['Romance']
Pokiri,Telugu,2019,"Action, Thriller",9000021,"['Thriller', 'Romance', 'Action']"
Dookudu,Telugu,2005,"Action, Drama",9000022,"['Romance', 'Action', 'Comedy']"
Business Man,Telugu,2011,"Action, Drama",9000023,"['Horror', 'Drama', 'Action', 'Comedy']"
Okkadu,Telugu,2026,"Action, Drama, Romance",9000024,"['Drama', 'Horror', 'Thriller', 'Action', 'Comedy']"
Athadu,Telugu,2017,"Action, Thriller",9000025,"['Thriller', 'Action', 'Comedy']"
Khaleja,Telugu,2006,"Action, Comedy",9000026,['Crime']
1: Nenokkadine,Telugu,2010,"Action, Drama",9000027,"['Crime', 'Thriller', 'Action']"
Sye Raa Narasimha Reddy,Telugu,2002,"Action, Drama",9000028,"['Romance', 'Crime', 'Action', 'Comedy']"
Khaidi No. 150,Telugu,2004,"Action, Drama",9000029,"['Romance', 'Thriller', 'Action']"
Indra,Telugu,2003,"Action, Drama",9000030,['Sci-Fi']
Tagore,Telugu,2005,"Action, Drama",9000031,"['Sci-Fi', 'Thriller', 'Action']"
Chiranjeevi,Telugu,2008,"Action, Drama",9000032,['Action']
Stalin,Telugu,2009,"Action, Drama",9000033,"['Drama', 'Comedy']"
Aravinda Sametha Veera Raghava,Telugu,2022,"Action, Drama",9000034,"['Romance', 'Action', 'Comedy']"
Janatha Garage,Telugu,2005,"Action, Drama",9000035,"['Romance', 'Crime']"
Temper,Telugu,2018,"Action, Drama",9000036,"['Romance', 'Drama', 'Action', 'Comedy']"
Simhadri,Telugu,2004,"Action, Drama",9000037,"['Action', 'Horror', 'Thriller']"
Yamadonga,Telugu,2009,"Action, Drama",9000038,"['Action', 'Horror']"
Guntur Kaaram,Telugu,2024,"Action, Drama",9000039,"['Horror', 'Drama', 'Crime', 'Action', 'Comedy']"
Hi Nanna,Telugu,2020,"Drama, Family",9000040,['Comedy']
Dasara,Telugu,2014,"Action, Drama",9000041,"['Sci-Fi', 'Thriller', 'Horror', 'Action', 'Comedy']"
Sita Ramam,Telugu,2005,"Drama, Romance",9000042,"['Thriller', 'Comedy']"
Bimbisara,Telugu,2014,"Action, Drama",9000043,['Horror']
Karthikeya 2,Telugu,2001,"Action, Drama",9000044,"['Action', 'Romance', 'Drama']"
DJ Tillu,Telugu,2025,"Comedy, Crime",9000045,"['Comedy', 'Thriller', 'Action']"
Tillu Square,Telugu,2005,"Comedy, Crime",9000046,"['Thriller', 'Comedy', 'Action']"
Hanuman,Telugu,2023,"Action, Adventure, Fantasy",9000047,"['Comedy', 'Crime', 'Action']"
V,Telugu,2002,"Action, Drama",9000048,"['Comedy', 'Thriller', 'Action']"
Bheeshma,Telugu,2001,"Action, Drama",9000049,"['Sci-Fi', 'Romance', 'Action', 'Comedy']"
Love Story,Telugu,2014,"Romance, Drama",9000050,"['Horror', 'Sci-Fi', 'Thriller']"
Akhanda,Telugu,2013,"Action, Drama",9000051,"['Sci-Fi', 'Comedy', 'Action']"
Jathi Ratnalu,Telugu,2014,"Action, Drama",9000052,"['Romance', 'Action']"
Major,Telugu,2019,"Action, Drama",9000053,"['Thriller', 'Action', 'Romance']"
Waltair Veerayya,Telugu,2013,"Action, Drama",9000054,"['Drama', 'Sci-Fi', 'Horror']"
Veera Simha Reddy,Telugu,2014,"Action, Drama",9000055,"['Drama', 'Action', 'Comedy']"
Baby,Telugu,2003,"Action, Drama",9000056,['Horror']
Devara: Part 1,Telugu,2013,"Action, Drama",9000057,"['Sci-Fi', 'Action', 'Comedy']"
Game Changer,Telugu,2020,"Action, Drama",9000058,"['Action', 'Horror', 'Sci-Fi']"
F2: Fun and Frustration,Telugu,2011,"Comedy, Family",9000059,"['Thriller', 'Crime', 'Action']"
F3: Fun and Frustration,Telugu,2002,"Comedy, Family",9000060,"['Sci-Fi', 'Crime', 'Drama']"
Geetha Govindam,Telugu,2025,"Romance, Comedy",9000061,"['Romance', 'Action']"
Dear Comrade,Telugu,2014,"Action, Drama",9000062,"['Romance', 'Action']"
Taxiwaala,Telugu,2026,"Action, Drama",9000063,['Action']
Jersey,Telugu,2012,"Drama, Sport",9000064,"['Romance', 'Crime', 'Thriller']"
Nani's Gang Leader,Telugu,2011,"Action, Drama",9000065,"['Drama', 'Action', 'Comedy']"
Shyam Singha Roy,Telugu,2014,"Action, Drama",9000066,['Drama']
Ante Sundaraniki,Telugu,2010,"Action, Drama",9000067,"['Horror', 'Action', 'Crime', 'Comedy']"
Evaru,Telugu,2013,"Action, Drama",9000068,"['Action', 'Drama', 'Comedy']"
Goodachari,Telugu,2015,"Action, Drama",9000069,"['Action', 'Comedy']"
Kshanam,Telugu,2009,"Action, Drama",9000070,['Action']
Awe!,Telugu,2005,"Action, Drama",9000071,"['Sci-Fi', 'Action', 'Comedy']"
C/o Kancharapalem,Telugu,2011,"Action, Drama",9000072,"['Romance', 'Action']"
Pelli Choopulu,Telugu,2001,"Romance, Drama",9000073,"['Sci-Fi', 'Romance', 'Action', 'Comedy']"
Mathu Vadalara,Telugu,2008,"Action, Drama",9000074,['Action']
Agent Sai Srinivasa Athreya,Telugu,2014,"Action, Drama",9000075,"['Comedy', 'Thriller', 'Action']"
Brochevarevarura,Telugu,2009,"Action, Drama",9000076,"['Sci-Fi', 'Action']"
Colour Photo,Telugu,2024,"Action, Drama",9000077,"['Drama', 'Action', 'Comedy']"
Middle Class Melodies,Telugu,2014,"Action, Drama",9000078,"['Horror', 'Thriller', 'Action']"
Gargi,Telugu,2008,"Action, Drama",9000079,"['Crime', 'Thriller', 'Sci-Fi', 'Comedy']"
Virupaksha,Telugu,2001,"Action, Drama",9000080,"['Romance', 'Thriller']"
Balagam,Telugu,2015,"Action, Drama",9000081,"['Romance', 'Thriller', 'Action']"
Miss Shetty Mr Polishetty,Telugu,2024,"Action, Drama",9000082,"['Comedy', 'Action', 'Romance']"
Mahanati,Telugu,2026,"Biography, Drama",9000083,"['Drama', 'Crime', 'Action']"
Nannaku Prematho,Telugu,2000,"Romance, Drama",9000084,"['Crime', 'Thriller', 'Action', 'Comedy']"
Dhruva,Telugu,2003,"Action, Drama",9000085,"['Drama', 'Horror', 'Action']"
Racha,Telugu,2020,"Action, Drama",9000086,"['Drama', 'Thriller', 'Sci-Fi', 'Comedy']"
Naayak,Telugu,2025,"Action, Drama",9000087,"['Action', 'Romance']"
Yevadu,Telugu,2016,"Action, Drama",9000088,"['Thriller', 'Horror', 'Action', 'Comedy']"
Bruce Lee: The Fighter,Telugu,2005,"Action, Drama",9000089,"['Thriller', 'Drama', 'Sci-Fi', 'Action', 'Comedy']"
Vinaya Vidheya Rama,Telugu,2017,"Action, Drama",9000090,"['Thriller', 'Crime', 'Action']"
Mirchi,Telugu,2014,"Action, Drama",9000091,"['Sci-Fi', 'Crime', 'Drama']"
Chatrapathi,Telugu,2009,"Action, Drama",9000092,"['Romance', 'Action', 'Comedy']"
Varsham,Telugu,2016,"Action, Drama",9000093,['Horror']
Darling,Telugu,2022,"Action, Drama",9000094,"['Action', 'Crime', 'Romance', 'Comedy']"
Mr. Perfect,Telugu,2011,"Action, Drama",9000095,"['Horror', 'Action']"
Rebel,Telugu,2000,"Action, Drama",9000096,"['Drama', 'Action']"
Billa,Telugu,2007,"Action, Drama",9000097,"['Action', 'Horror', 'Comedy']"
Oosaravelli,Telugu,2001,"Action, Drama",9000098,"['Thriller', 'Horror', 'Action', 'Comedy']"
Neninthe,Telugu,2008,"Action, Drama",9000099,['Action']
Idiot,Telugu,2009,"Action, Drama",9000100,"['Drama', 'Horror', 'Comedy']"
Amma Nanna O Tamila Ammayi,Telugu,2005,"Action, Drama",9000101,"['Romance', 'Action', 'Crime', 'Comedy']"
Desamuduru,Telugu,2002,"Action, Drama",9000102,"['Romance', 'Sci-Fi', 'Action', 'Comedy']"
Arya,Telugu,2011,"Action, Drama",9000103,"['Action', 'Comedy', 'Thriller']"
Arya 2,Telugu,2017,"Action, Drama",9000104,"['Thriller', 'Drama', 'Action', 'Comedy']"
Julayi,Telugu,2005,"Action, Drama",9000105,"['Action', 'Comedy']"
S/O Satyamurthy,Telugu,2011,"Action, Drama",9000106,"['Horror', 'Action', 'Comedy']"
Iddarammayilatho,Telugu,2014,"Action, Drama",9000107,"['Romance', 'Horror', 'Crime', 'Action']"
Race Gurram,Telugu,2018,"Action, Drama",9000108,"['Comedy', 'Crime', 'Action']"
Sarrainodu,Telugu,2026,"Action, Drama",9000109,"['Sci-Fi', 'Crime', 'Action', 'Comedy']"
Dhamaka,Telugu,2009,"Action, Drama",9000110,"['Crime', 'Romance', 'Action']"
Raja The Great,Telugu,2020,"Action, Drama",9000111,"['Crime', 'Action', 'Comedy']"
Krack,Telugu,2011,"Action, Drama",9000112,"['Horror', 'Drama', 'Action', 'Comedy']"
Balupu,Telugu,2014,"Action, Drama",9000113,"['Comedy', 'Sci-Fi', 'Action']"
Don Seenu,Telugu,2018,"Action, Drama",9000114,"['Crime', 'Drama', 'Action']"
Mirapakay,Telugu,2007,"Action, Drama",9000115,"['Crime', 'Action']"
Kick,Telugu,2003,"Action, Drama",9000116,"['Comedy', 'Crime', 'Action']"
Gopala Gopala,Telugu,2015,"Action, Drama",9000117,"['Comedy', 'Horror', 'Action']"
Aagadu,Telugu,2022,"Action, Drama",9000118,"['Action', 'Sci-Fi', 'Crime', 'Comedy']"
Seethamma Vakitlo Sirimalle Chettu,Telugu,2010,"Action, Drama",9000119,"['Comedy', 'Action']"
Manam,Telugu,2025,"Action, Drama",9000120,"['Action', 'Thriller']"
Oopiri,Telugu,2005,"Action, Drama",9000121,"['Thriller', 'Sci-Fi', 'Action']"
Soggade Chinni Nayana,Telugu,2005,"Action, Drama",9000122,"['Horror', 'Comedy', 'Action']"
Bangarraju,Telugu,2024,"Action, Drama",9000123,['Comedy']
Hello,Telugu,2013,"Action, Drama",9000124,"['Comedy', 'Drama', 'Action']"
Akhil,Telugu,2023,"Action, Drama",9000125,['Action']
Mr. Majnu,Telugu,2007,"Action, Drama",9000126,"['Crime', 'Action', 'Comedy']"
Most Eligible Bachelor,Telugu,2026,"Action, Drama",9000127,['Action']
Bommarillu,Telugu,2006,"Action, Drama",9000128,"['Thriller', 'Horror', 'Sci-Fi', 'Action']"
Boys,Telugu,2008,"Action, Drama",9000129,"['Romance', 'Horror', 'Comedy', 'Action']"
Nuvvu Naaku Nachav,Telugu,2010,"Action, Drama",9000130,"['Sci-Fi', 'Action', 'Comedy']"
Malliswari,Telugu,2002,"Action, War, Drama",9000131,"['Thriller', 'Sci-Fi', 'Romance', 'Action']"
Ghatikudu,Telugu,2005,"Action, Drama",9000132,"['Comedy', 'Crime', 'Action']"
Arundhati,Telugu,2024,"Action, Drama",9000133,"['Horror', 'Thriller', 'Romance', 'Action']"
Bhaagamathie,Telugu,2025,"Action, Drama",9000134,"['Drama', 'Crime', 'Comedy', 'Action']"
Anushka Shetty,Telugu,2009,"Action, Drama",9000135,"['Comedy', 'Action']"
